source_mat_id,source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,depth,replicate,samp_size_vol,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,long_store,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,failure,failure_comment,ENA_accession_number_sample,chlorophyll,chlorophyll_method,sea_surf_temp,sea_surf_temp_method,sea_subsurf_temp,sea_subsurf_temp_method,sea_surf_salinity,sea_surf_salinity_method,sea_subsurf_salinity,sea_subsurf_salinity_method,alkalinity,alkalinity_method,ammonium,ammonium_method,bac_prod,bac_prod_method,biomass,biomass_method,chem_administration,conduc,conduc_method,density,density_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,down_par,down_par_method,diss_oxygen,diss_oxygen_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,organism_count,organism_count_method,ph,ph_method,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,pressure,pressure_method,primary_prod,primary_prod_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,turbidity,turbidity_method,water_current,water_current_method
EMOBON_RFormosa_Wa_211022_200um_1,EMO BON RFormosa Wa 211022 3um_1,EMOBON metagenome water sample from station RFormosa collected on 2021-10-22 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2021-10-22,RFormosa_Wa_211022,Bruno Louro,0000-0001-8164-581X,low_tide,0.2,1,5,fi,3-200,3.0,200,True,bucket,WaSOP 1,peristaltic pump,2021-10-22,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,False,2022-01-24,2022-02-02,-70.0,2022-02-22,2022-02-23,False,,,8.8688,Fluorometer 10-AU,19.3,Thermo scientific  orion star A221,19.3,Thermo scientific  orion star A221,36.95,YSI ProSolo Digital,36.95,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,219.0,YSI ProSolo Digital,,,,,,,,,8.024,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00528004,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_211022_200um_2,EMO BON RFormosa Wa 211022 3um_2,EMOBON metagenome water sample from station RFormosa collected on 2021-10-22 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2021-10-22,RFormosa_Wa_211022,Bruno Louro,0000-0001-8164-581X,low_tide,0.2,2,5,fi,3-200,3.0,200,True,bucket,WaSOP 1,peristaltic pump,2021-10-22,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,False,2022-01-24,2022-02-02,-70.0,2022-02-22,2022-02-23,False,,,8.8688,Fluorometer 10-AU,19.3,Thermo scientific  orion star A221,19.3,Thermo scientific  orion star A221,36.95,YSI ProSolo Digital,36.95,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,219.0,YSI ProSolo Digital,,,,,,,,,8.024,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00528004,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_211022_200um_3,EMO BON RFormosa Wa 211022 3um_3,EMOBON metagenome water sample from station RFormosa collected on 2021-10-22 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2021-10-22,RFormosa_Wa_211022,Bruno Louro,0000-0001-8164-581X,low_tide,0.2,3,5,fi,3-200,3.0,200,True,bucket,WaSOP 1,peristaltic pump,2021-10-22,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,True,,,,,,,,,8.8688,Fluorometer 10-AU,19.3,Thermo scientific  orion star A221,19.3,Thermo scientific  orion star A221,36.95,YSI ProSolo Digital,36.95,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,219.0,YSI ProSolo Digital,,,,,,,,,8.024,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00528004,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_211022_200um_4,EMO BON RFormosa Wa 211022 3um_4,EMOBON metagenome water sample from station RFormosa collected on 2021-10-22 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2021-10-22,RFormosa_Wa_211022,Bruno Louro,0000-0001-8164-581X,low_tide,0.2,4,5,fi,3-200,3.0,200,True,bucket,WaSOP 1,peristaltic pump,2021-10-22,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,True,,,,,,,,,8.8688,Fluorometer 10-AU,19.3,Thermo scientific  orion star A221,19.3,Thermo scientific  orion star A221,36.95,YSI ProSolo Digital,36.95,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,219.0,YSI ProSolo Digital,,,,,,,,,8.024,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00528004,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_211022_3um_1,EMO BON RFormosa Wa 211022 0.22um_1,EMOBON metagenome water sample from station RFormosa collected on 2021-10-22 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2021-10-22,RFormosa_Wa_211022,Bruno Louro,0000-0001-8164-581X,low_tide,0.2,1,5,fi,0.2-3,0.2,3,True,bucket,WaSOP 1,peristaltic pump,2021-10-22,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,False,2022-01-24,2022-02-02,-70.0,2022-02-22,2022-02-23,False,,,8.8688,Fluorometer 10-AU,19.3,Thermo scientific  orion star A221,19.3,Thermo scientific  orion star A221,36.95,YSI ProSolo Digital,36.95,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,219.0,YSI ProSolo Digital,,,,,,,,,8.024,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00528004,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_211022_3um_2,EMO BON RFormosa Wa 211022 0.22um_2,EMOBON metagenome water sample from station RFormosa collected on 2021-10-22 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2021-10-22,RFormosa_Wa_211022,Bruno Louro,0000-0001-8164-581X,low_tide,0.2,2,5,fi,0.2-3,0.2,3,True,bucket,WaSOP 1,peristaltic pump,2021-10-22,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,False,2022-01-24,2022-02-02,-70.0,2022-02-22,2022-02-23,False,,,8.8688,Fluorometer 10-AU,19.3,Thermo scientific  orion star A221,19.3,Thermo scientific  orion star A221,36.95,YSI ProSolo Digital,36.95,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,219.0,YSI ProSolo Digital,,,,,,,,,8.024,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00528004,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_211022_3um_3,EMO BON RFormosa Wa 211022 0.22um_3,EMOBON metagenome water sample from station RFormosa collected on 2021-10-22 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2021-10-22,RFormosa_Wa_211022,Bruno Louro,0000-0001-8164-581X,low_tide,0.2,3,5,fi,0.2-3,0.2,3,True,bucket,WaSOP 1,peristaltic pump,2021-10-22,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,True,,,,,,,,,8.8688,Fluorometer 10-AU,19.3,Thermo scientific  orion star A221,19.3,Thermo scientific  orion star A221,36.95,YSI ProSolo Digital,36.95,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,219.0,YSI ProSolo Digital,,,,,,,,,8.024,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00528004,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_211022_3um_4,EMO BON RFormosa Wa 211022 0.22um_4,EMOBON metagenome water sample from station RFormosa collected on 2021-10-22 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2021-10-22,RFormosa_Wa_211022,Bruno Louro,0000-0001-8164-581X,low_tide,0.2,4,5,fi,0.2-3,0.2,3,True,bucket,WaSOP 1,peristaltic pump,2021-10-22,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,True,,,,,,,,,8.8688,Fluorometer 10-AU,19.3,Thermo scientific  orion star A221,19.3,Thermo scientific  orion star A221,36.95,YSI ProSolo Digital,36.95,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,219.0,YSI ProSolo Digital,,,,,,,,,8.024,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00528004,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_211022_200um_blank,EMO BON RFormosa Wa 211022 3um_Blank,EMOBON metagenome water sample from station RFormosa collected on 2021-10-22 size fraction 3-200um,32644,unidentified,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2021-10-22,RFormosa_Wa_211022,Bruno Louro,0000-0001-8164-581X,low_tide,,blank,5,fi,3-200,3.0,200,,,WaSOP 1,peristaltic pump,2021-10-22,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,True,,,,,,,,,8.8688,Fluorometer 10-AU,19.3,Thermo scientific  orion star A221,19.3,Thermo scientific  orion star A221,36.95,YSI ProSolo Digital,36.95,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,219.0,YSI ProSolo Digital,,,,,,,,,8.024,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00528004,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_211022_3um_blank,EMO BON RFormosa Wa 211022 0.22um_Blank,EMOBON metagenome water sample from station RFormosa collected on 2021-10-22 size fraction 0.2-3um,32644,unidentified,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2021-10-22,RFormosa_Wa_211022,Bruno Louro,0000-0001-8164-581X,low_tide,,blank,5,fi,0.2-3,0.2,3,,,WaSOP 1,peristaltic pump,2021-10-22,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,True,,,,,,,,,8.8688,Fluorometer 10-AU,19.3,Thermo scientific  orion star A221,19.3,Thermo scientific  orion star A221,36.95,YSI ProSolo Digital,36.95,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,219.0,YSI ProSolo Digital,,,,,,,,,8.024,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00528004,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_211220_200um_1,EMO BON RFormosa Wa 211220 3um_1,EMOBON metagenome water sample from station RFormosa collected on 2021-12-20 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2021-12-20,RFormosa_Wa_211220,Bruno Louro,0000-0001-8164-581X,low_tide,0.2,1,5,fi,3-200,3.0,200,True,bucket,WaSOP 1,peristaltic pump,2021-12-20,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,False,2022-01-24,2022-02-02,-70.0,2022-02-22,2022-02-23,False,,,3.98132,Fluorometer 10-AU,15.0,Thermo scientific  orion star A221,15.0,Thermo scientific  orion star A221,36.3,YSI ProSolo Digital,36.3,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,256.0,YSI ProSolo Digital,,,,,,,,,8.258,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005181347,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_211220_200um_2,EMO BON RFormosa Wa 211220 3um_2,EMOBON metagenome water sample from station RFormosa collected on 2021-12-20 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2021-12-20,RFormosa_Wa_211220,Bruno Louro,0000-0001-8164-581X,low_tide,0.2,2,5,fi,3-200,3.0,200,True,bucket,WaSOP 1,peristaltic pump,2021-12-20,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,False,2022-01-24,2022-02-02,-70.0,2022-02-22,2022-02-23,False,,,3.98132,Fluorometer 10-AU,15.0,Thermo scientific  orion star A221,15.0,Thermo scientific  orion star A221,36.3,YSI ProSolo Digital,36.3,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,256.0,YSI ProSolo Digital,,,,,,,,,8.258,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005181347,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_211220_200um_3,EMO BON RFormosa Wa 211220 3um_3,EMOBON metagenome water sample from station RFormosa collected on 2021-12-20 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2021-12-20,RFormosa_Wa_211220,Bruno Louro,0000-0001-8164-581X,low_tide,0.2,3,5,fi,3-200,3.0,200,True,bucket,WaSOP 1,peristaltic pump,2021-12-20,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,True,,,,,,,,,3.98132,Fluorometer 10-AU,15.0,Thermo scientific  orion star A221,15.0,Thermo scientific  orion star A221,36.3,YSI ProSolo Digital,36.3,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,256.0,YSI ProSolo Digital,,,,,,,,,8.258,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005181347,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_211220_200um_4,EMO BON RFormosa Wa 211220 3um_4,EMOBON metagenome water sample from station RFormosa collected on 2021-12-20 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2021-12-20,RFormosa_Wa_211220,Bruno Louro,0000-0001-8164-581X,low_tide,0.2,4,5,fi,3-200,3.0,200,True,bucket,WaSOP 1,peristaltic pump,2021-12-20,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,True,,,,,,,,,3.98132,Fluorometer 10-AU,15.0,Thermo scientific  orion star A221,15.0,Thermo scientific  orion star A221,36.3,YSI ProSolo Digital,36.3,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,256.0,YSI ProSolo Digital,,,,,,,,,8.258,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005181347,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_211220_3um_1,EMO BON RFormosa Wa 211220 0.22um_1,EMOBON metagenome water sample from station RFormosa collected on 2021-12-20 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2021-12-20,RFormosa_Wa_211220,Bruno Louro,0000-0001-8164-581X,low_tide,0.2,1,5,fi,0.2-3,0.2,3,True,bucket,WaSOP 1,peristaltic pump,2021-12-20,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,False,2022-01-24,2022-02-02,-70.0,2022-02-22,2022-02-23,False,,,3.98132,Fluorometer 10-AU,15.0,Thermo scientific  orion star A221,15.0,Thermo scientific  orion star A221,36.3,YSI ProSolo Digital,36.3,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,256.0,YSI ProSolo Digital,,,,,,,,,8.258,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005181347,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_211220_3um_2,EMO BON RFormosa Wa 211220 0.22um_2,EMOBON metagenome water sample from station RFormosa collected on 2021-12-20 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2021-12-20,RFormosa_Wa_211220,Bruno Louro,0000-0001-8164-581X,low_tide,0.2,2,5,fi,0.2-3,0.2,3,True,bucket,WaSOP 1,peristaltic pump,2021-12-20,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,False,2022-01-24,2022-02-02,-70.0,2022-02-22,2022-02-23,False,,,3.98132,Fluorometer 10-AU,15.0,Thermo scientific  orion star A221,15.0,Thermo scientific  orion star A221,36.3,YSI ProSolo Digital,36.3,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,256.0,YSI ProSolo Digital,,,,,,,,,8.258,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005181347,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_211220_3um_3,EMO BON RFormosa Wa 211220 0.22um_3,EMOBON metagenome water sample from station RFormosa collected on 2021-12-20 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2021-12-20,RFormosa_Wa_211220,Bruno Louro,0000-0001-8164-581X,low_tide,0.2,3,5,fi,0.2-3,0.2,3,True,bucket,WaSOP 1,peristaltic pump,2021-12-20,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,True,,,,,,,,,3.98132,Fluorometer 10-AU,15.0,Thermo scientific  orion star A221,15.0,Thermo scientific  orion star A221,36.3,YSI ProSolo Digital,36.3,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,256.0,YSI ProSolo Digital,,,,,,,,,8.258,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005181347,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_211220_3um_4,EMO BON RFormosa Wa 211220 0.22um_4,EMOBON metagenome water sample from station RFormosa collected on 2021-12-20 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2021-12-20,RFormosa_Wa_211220,Bruno Louro,0000-0001-8164-581X,low_tide,0.2,4,5,fi,0.2-3,0.2,3,True,bucket,WaSOP 1,peristaltic pump,2021-12-20,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,True,,,,,,,,,3.98132,Fluorometer 10-AU,15.0,Thermo scientific  orion star A221,15.0,Thermo scientific  orion star A221,36.3,YSI ProSolo Digital,36.3,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,256.0,YSI ProSolo Digital,,,,,,,,,8.258,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005181347,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_211220_200um_blank,EMO BON RFormosa Wa 211220 3um_Blank,EMOBON metagenome water sample from station RFormosa collected on 2021-12-20 size fraction 3-200um,32644,unidentified,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2021-12-20,RFormosa_Wa_211220,Bruno Louro,0000-0001-8164-581X,low_tide,,blank,5,fi,3-200,3.0,200,,,WaSOP 1,peristaltic pump,2021-12-20,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,False,2022-01-24,2022-02-02,-70.0,2022-02-22,2022-02-23,True,blank; non-quantifiable DNA after extraction,,3.98132,Fluorometer 10-AU,15.0,Thermo scientific  orion star A221,15.0,Thermo scientific  orion star A221,36.3,YSI ProSolo Digital,36.3,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,256.0,YSI ProSolo Digital,,,,,,,,,8.258,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005181347,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_211220_3um_blank,EMO BON RFormosa Wa 211220 0.22um_Blank,EMOBON metagenome water sample from station RFormosa collected on 2021-12-20 size fraction 0.2-3um,32644,unidentified,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2021-12-20,RFormosa_Wa_211220,Bruno Louro,0000-0001-8164-581X,low_tide,,blank,5,fi,0.2-3,0.2,3,,,WaSOP 1,peristaltic pump,2021-12-20,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,False,2022-01-24,2022-02-02,-70.0,2022-02-22,2022-02-23,True,blank; non-quantifiable DNA after extraction,,3.98132,Fluorometer 10-AU,15.0,Thermo scientific  orion star A221,15.0,Thermo scientific  orion star A221,36.3,YSI ProSolo Digital,36.3,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,256.0,YSI ProSolo Digital,,,,,,,,,8.258,Thermo scientific  orion star A221,,,,,,,,,,,,,1.005181347,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220224_200um_1,EMO BON RFormosa Wa 220224 3um_1,EMOBON metagenome water sample from station RFormosa collected on 2022-02-24 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2022-02-24,RFormosa_Wa_220224,Bruno Louro,0000-0001-8164-581X,low_tide,0.2,1,5,fi,3-200,3.0,200,True,bucket,WaSOP 1,peristaltic pump,2022-02-24,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,False,2022-10-17,2022-10-26,-70.0,2023-06-01,2023-06-01,,,,2.53,Fluorometer 10-AU,17.3,Thermo scientific  orion star A221,17.3,Thermo scientific  orion star A221,37.47,YSI ProSolo Digital,37.47,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,278.0,YSI ProSolo Digital,,,,,,,,,7.937,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00399704,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220224_200um_2,EMO BON RFormosa Wa 220224 3um_2,EMOBON metagenome water sample from station RFormosa collected on 2022-02-24 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2022-02-24,RFormosa_Wa_220224,Bruno Louro,0000-0001-8164-581X,low_tide,0.2,2,5,fi,3-200,3.0,200,True,bucket,WaSOP 1,peristaltic pump,2022-02-24,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,False,2022-10-17,2022-10-26,-70.0,2023-06-01,2023-06-01,,,,2.53,Fluorometer 10-AU,17.3,Thermo scientific  orion star A221,17.3,Thermo scientific  orion star A221,37.47,YSI ProSolo Digital,37.47,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,278.0,YSI ProSolo Digital,,,,,,,,,7.937,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00399704,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220224_200um_3,EMO BON RFormosa Wa 220224 3um_3,EMOBON metagenome water sample from station RFormosa collected on 2022-02-24 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2022-02-24,RFormosa_Wa_220224,Bruno Louro,0000-0001-8164-581X,low_tide,0.2,3,5,fi,3-200,3.0,200,True,bucket,WaSOP 1,peristaltic pump,2022-02-24,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,True,,,,,,,,,2.53,Fluorometer 10-AU,17.3,Thermo scientific  orion star A221,17.3,Thermo scientific  orion star A221,37.47,YSI ProSolo Digital,37.47,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,278.0,YSI ProSolo Digital,,,,,,,,,7.937,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00399704,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220224_200um_4,EMO BON RFormosa Wa 220224 3um_4,EMOBON metagenome water sample from station RFormosa collected on 2022-02-24 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2022-02-24,RFormosa_Wa_220224,Bruno Louro,0000-0001-8164-581X,low_tide,0.2,4,5,fi,3-200,3.0,200,True,bucket,WaSOP 1,peristaltic pump,2022-02-24,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,True,,,,,,,,,2.53,Fluorometer 10-AU,17.3,Thermo scientific  orion star A221,17.3,Thermo scientific  orion star A221,37.47,YSI ProSolo Digital,37.47,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,278.0,YSI ProSolo Digital,,,,,,,,,7.937,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00399704,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220224_3um_1,EMO BON RFormosa Wa 220224 0.22um_1,EMOBON metagenome water sample from station RFormosa collected on 2022-02-24 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2022-02-24,RFormosa_Wa_220224,Bruno Louro,0000-0001-8164-581X,low_tide,0.2,1,5,fi,0.2-3,0.2,3,True,bucket,WaSOP 1,peristaltic pump,2022-02-24,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,False,2022-10-17,2022-10-26,-70.0,2023-06-01,2023-06-01,,,,2.53,Fluorometer 10-AU,17.3,Thermo scientific  orion star A221,17.3,Thermo scientific  orion star A221,37.47,YSI ProSolo Digital,37.47,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,278.0,YSI ProSolo Digital,,,,,,,,,7.937,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00399704,YSI ProSolo Digital,,,,,,,,,,,,
EMOBON_RFormosa_Wa_220224_3um_2,EMO BON RFormosa Wa 220224 0.22um_2,EMOBON metagenome water sample from station RFormosa collected on 2022-02-24 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],2022-02-24,RFormosa_Wa_220224,Bruno Louro,0000-0001-8164-581X,low_tide,0.2,2,5,fi,0.2-3,0.2,3,True,bucket,WaSOP 1,peristaltic pump,2022-02-24,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,,False,2022-10-17,2022-10-26,-70.0,2023-06-01,2023-06-01,,,,2.53,Fluorometer 10-AU,17.3,Thermo scientific  orion star A221,17.3,Thermo scientific  orion star A221,37.47,YSI ProSolo Digital,37.47,YSI ProSolo Digital,,,,,,,,,,,,,,,,,,,,,,,,278.0,YSI ProSolo Digital,,,,,,,,,7.937,Thermo scientific  orion star A221,,,,,,,,,,,,,1.00399704,YSI ProSolo Digital,,,,,,,,,,,,
