source_mat_id,chlorophyll,chlorophyll_method,sea_surf_temp,sea_surf_temp_method,sea_subsurf_temp,sea_subsurf_temp_method,sea_surf_salinity,sea_surf_salinity_method,sea_subsurf_salinity,sea_subsurf_salinity_method,alkalinity,alkalinity_method,ammonium,ammonium_method,bac_prod,bac_prod_method,biomass,biomass_method,chem_administration,conduc,conduc_method,density,density_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,down_par,down_par_method,diss_oxygen,diss_oxygen_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,organism_count,organism_count_method,ph,ph_method,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,pressure,pressure_method,primary_prod,primary_prod_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,turbidity,turbidity_method,water_current,water_current_method
EMOBON_EMT21 _So_ 221028_macro_1mm_2,,,17.3,Hach probe,,,35.57,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.14,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21 _So_ 221028_macro_1mm_3,,,17.3,Hach probe,,,35.57,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.14,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21 _So_ 221028_macro_1mm_4,,,17.3,Hach probe,,,35.57,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.14,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21 _So_ 230421_macro_NAmm_1,,,16.5,Hach probe,,,34.72,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.09,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21 _So_ 230421_macro_NAmm_2,,,16.5,Hach probe,,,34.72,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.09,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21 _So_ 230421_macro_NAmm_3,,,16.5,Hach probe,,,34.72,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.09,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21 _So_ 230421_macro_NAmm_4,,,16.5,Hach probe,,,34.72,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.09,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21 _So_ 230421_macro_1mm_1,,,16.5,Hach probe,,,34.72,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.09,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21 _So_ 230421_macro_1mm_2,,,16.5,Hach probe,,,34.72,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.09,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21 _So_ 230421_macro_1mm_3,,,16.5,Hach probe,,,34.72,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.09,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21 _So_ 230421_macro_1mm_4,,,16.5,Hach probe,,,34.72,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.09,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21 _So_ 231027_macro_NAmm_1,,,18.3,Hach probe,,,33.6,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.82,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21 _So_ 231027_macro_NAmm_2,,,18.3,Hach probe,,,33.6,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.82,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21 _So_ 231027_macro_NAmm_3,,,18.3,Hach probe,,,33.6,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.82,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21 _So_ 231027_macro_NAmm_4,,,18.3,Hach probe,,,33.6,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.82,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21 _So_ 231027_macro_1mm_1,,,18.3,Hach probe,,,33.6,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.82,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21 _So_ 231027_macro_1mm_2,,,18.3,Hach probe,,,33.6,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.82,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21 _So_ 231027_macro_1mm_3,,,18.3,Hach probe,,,33.6,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.82,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21 _So_ 231027_macro_1mm_4,,,18.3,Hach probe,,,33.6,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.82,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21 _So_ 240424_macro_NAmm_1,,,14.6,Hach probe,,,36.1,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.22,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21 _So_ 240424_macro_NAmm_2,,,14.6,Hach probe,,,36.1,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.22,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21 _So_ 240424_macro_NAmm_3,,,14.6,Hach probe,,,36.1,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.22,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21 _So_ 240424_macro_NAmm_4,,,14.6,Hach probe,,,36.1,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.22,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21 _So_ 240424_macro_1mm_1,,,14.6,Hach probe,,,36.1,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.22,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21 _So_ 240424_macro_1mm_2,,,14.6,Hach probe,,,36.1,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.22,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21 _So_ 240424_macro_1mm_3,,,14.6,Hach probe,,,36.1,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.22,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_EMT21 _So_ 240424_macro_1mm_4,,,14.6,Hach probe,,,36.1,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.22,Hach probe,,,,,,,,,,,,,,,,,,,,,,,,,,
