source_mat_id,source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,depth,replicate,samp_size_vol,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,long_store,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,failure,failure_comment,ENA_accession_number_sample
EMOBON_EMT21_So_220420_macro_NAmm_3,EMO BON EMT21 So 220420 macro 1mm (3),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2022-04-20 community collected macro size fraction NAmm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2022-04-20,EMT21_So_220420,Jose González,0000-0003-1576-9819,ebb_tide,3.0,3,,,,1.0,,,Van Veen Grab sampler 0.056m2,,SoSOP2,2022-04-20,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,True,,,,,,,,
EMOBON_EMT21_So_220420_macro_NAmm_4,EMO BON EMT21 So 220420 macro 1mm (4),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2022-04-20 community collected macro size fraction NAmm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2022-04-20,EMT21_So_220420,Jose González,0000-0003-1576-9819,ebb_tide,3.0,4,,,,1.0,,,Van Veen Grab sampler 0.056m2,,SoSOP2,2022-04-20,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,True,,,,,,,,
EMOBON_EMT21 _So_ 220420_macro_1mm_1,EMO BON EMT21 So 220420 macro 500um (1),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2022-04-20 community collected macro size fraction 1mm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2022-04-20,EMT21 _So_ 220420,Jose González,0000-0003-1576-9819,ebb_tide,3.0,1,,,,0.5,1.0,,Van Veen Grab sampler 0.056m2,,SoSOP2,2022-04-20,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,False,2022-10-03,2022-10-04,4.0,2022-11-15,2022-11-16,,,
EMOBON_EMT21 _So_ 220420_macro_1mm_2,EMO BON EMT21 So 220420 macro 500um (2),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2022-04-20 community collected macro size fraction 1mm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2022-04-20,EMT21 _So_ 220420,Jose González,0000-0003-1576-9819,ebb_tide,3.0,2,,,,0.5,1.0,,Van Veen Grab sampler 0.056m2,,SoSOP2,2022-04-20,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,False,2022-10-03,2022-10-04,4.0,2022-11-15,2022-11-16,,,
EMOBON_EMT21 _So_ 220420_macro_1mm_3,EMO BON EMT21 So 220420 macro 500um (3),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2022-04-20 community collected macro size fraction 1mm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2022-04-20,EMT21 _So_ 220420,Jose González,0000-0003-1576-9819,ebb_tide,3.0,3,,,,0.5,1.0,,Van Veen Grab sampler 0.056m2,,SoSOP2,2022-04-20,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,True,,,,,,,,
EMOBON_EMT21 _So_ 220420_macro_1mm_4,EMO BON EMT21 So 220420 macro 500um (4),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2022-04-20 community collected macro size fraction 1mm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2022-04-20,EMT21 _So_ 220420,Jose González,0000-0003-1576-9819,ebb_tide,3.0,4,,,,0.5,1.0,,Van Veen Grab sampler 0.056m2,,SoSOP2,2022-04-20,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,True,,,,,,,,
EMOBON_EMT21 _So_ 221028_macro_NAmm_1,EMO BON EMT21 So 221028 macro 1mm (1),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2022-10-28 community collected macro size fraction NAmm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2022-10-28,EMT21 _So_ 221028,Jose González,0000-0003-1576-9819,ebb_tide,3.0,1,,,,1.0,,,Van Veen Grab sampler 0.056m2,,SoSOP2,2022-10-28,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,False,2023-06-12,2023-06-12,4.0,,,,,
EMOBON_EMT21 _So_ 221028_macro_NAmm_2,EMO BON EMT21 So 221028 macro 1mm (2),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2022-10-28 community collected macro size fraction NAmm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2022-10-28,EMT21 _So_ 221028,Jose González,0000-0003-1576-9819,ebb_tide,3.0,2,,,,1.0,,,Van Veen Grab sampler 0.056m2,,SoSOP2,2022-10-28,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,False,2023-06-12,2023-06-12,4.0,,,,,
EMOBON_EMT21 _So_ 221028_macro_NAmm_3,EMO BON EMT21 So 221028  macro 1mm (3),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2022-10-28 community collected macro size fraction NAmm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2022-10-28,EMT21 _So_ 221028,Jose González,0000-0003-1576-9819,ebb_tide,3.0,3,,,,1.0,,,Van Veen Grab sampler 0.056m2,,SoSOP2,2022-10-28,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,True,,,,,,,,
EMOBON_EMT21 _So_ 221028_macro_NAmm_4,EMO BON EMT21 So 221028 macro 1mm (4),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2022-10-28 community collected macro size fraction NAmm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2022-10-28,EMT21 _So_ 221028,Jose González,0000-0003-1576-9819,ebb_tide,3.0,4,,,,1.0,,,Van Veen Grab sampler 0.056m2,,SoSOP2,2022-10-28,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,True,,,,,,,,
EMOBON_EMT21 _So_ 221028_macro_1mm_1,EMO BON EMT21 So 221028  macro 500um (1),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2022-10-28 community collected macro size fraction 1mm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2022-10-28,EMT21 _So_ 221028,Jose González,0000-0003-1576-9819,ebb_tide,3.0,1,,,,0.5,1.0,,Van Veen Grab sampler 0.056m2,,SoSOP2,2022-10-28,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,False,2023-06-12,2023-06-12,4.0,,,,,
EMOBON_EMT21 _So_ 221028_macro_1mm_2,EMO BON EMT21 So 221028  macro 500um (2),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2022-10-28 community collected macro size fraction 1mm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2022-10-28,EMT21 _So_ 221028,Jose González,0000-0003-1576-9819,ebb_tide,3.0,2,,,,0.5,1.0,,Van Veen Grab sampler 0.056m2,,SoSOP2,2022-10-28,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,False,2023-06-12,2023-06-12,4.0,,,,,
EMOBON_EMT21 _So_ 221028_macro_1mm_3,EMO BON EMT21 So 221028  macro 500um (3),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2022-10-28 community collected macro size fraction 1mm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2022-10-28,EMT21 _So_ 221028,Jose González,0000-0003-1576-9819,ebb_tide,3.0,3,,,,0.5,1.0,,Van Veen Grab sampler 0.056m2,,SoSOP2,2022-10-28,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,True,,,,,,,,
EMOBON_EMT21 _So_ 221028_macro_1mm_4,EMO BON EMT21 So 221028 macro 500um (4),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2022-10-28 community collected macro size fraction 1mm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2022-10-28,EMT21 _So_ 221028,Jose González,0000-0003-1576-9819,ebb_tide,3.0,4,,,,0.5,1.0,,Van Veen Grab sampler 0.056m2,,SoSOP2,2022-10-28,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,True,,,,,,,,
EMOBON_EMT21 _So_ 230421_macro_NAmm_1,EMO BON EMT21 So 230421 macro 1mm (1),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2023-04-21 community collected macro size fraction NAmm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2023-04-21,EMT21 _So_ 230421,Jose González,0000-0003-1576-9819,ebb_tide,3.0,1,,,,1.0,,,Van Veen Grab sampler 0.056m2,,SoSOP2,2023-04-21,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,False,2023-06-12,2023-06-12,4.0,,,,,
EMOBON_EMT21 _So_ 230421_macro_NAmm_2,EMO BON EMT21 So 230421 macro 1mm (2),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2023-04-21 community collected macro size fraction NAmm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2023-04-21,EMT21 _So_ 230421,Jose González,0000-0003-1576-9819,ebb_tide,3.0,2,,,,1.0,,,Van Veen Grab sampler 0.056m2,,SoSOP2,2023-04-21,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,False,2023-06-12,2023-06-12,4.0,,,,,
EMOBON_EMT21 _So_ 230421_macro_NAmm_3,EMO BON EMT21 So 230421  macro 1mm (3),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2023-04-21 community collected macro size fraction NAmm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2023-04-21,EMT21 _So_ 230421,Jose González,0000-0003-1576-9819,ebb_tide,3.0,3,,,,1.0,,,Van Veen Grab sampler 0.056m2,,SoSOP2,2023-04-21,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,True,,,,,,,,
EMOBON_EMT21 _So_ 230421_macro_NAmm_4,EMO BON EMT21 So 230421 macro 1mm (4),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2023-04-21 community collected macro size fraction NAmm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2023-04-21,EMT21 _So_ 230421,Jose González,0000-0003-1576-9819,ebb_tide,3.0,4,,,,1.0,,,Van Veen Grab sampler 0.056m2,,SoSOP2,2023-04-21,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,True,,,,,,,,
EMOBON_EMT21 _So_ 230421_macro_1mm_1,EMO BON EMT21 So 230421  macro 500um (1),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2023-04-21 community collected macro size fraction 1mm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2023-04-21,EMT21 _So_ 230421,Jose González,0000-0003-1576-9819,ebb_tide,3.0,1,,,,0.5,1.0,,Van Veen Grab sampler 0.056m2,,SoSOP2,2023-04-21,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,False,2023-06-12,2023-06-12,4.0,,,,,
EMOBON_EMT21 _So_ 230421_macro_1mm_2,EMO BON EMT21 So 230421  macro 500um (2),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2023-04-21 community collected macro size fraction 1mm,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2023-04-21,EMT21 _So_ 230421,Jose González,0000-0003-1576-9819,ebb_tide,3.0,2,,,,0.5,1.0,,Van Veen Grab sampler 0.056m2,,SoSOP2,2023-04-21,Mesocosms Isotherm chamber,4,Jose González,0000-0003-1576-9819,,,False,2023-06-12,2023-06-12,4.0,,,,,
